id,description,size,price,product_code,typeid,qty_break,qty_discount,qty_instock,qty_ordered,special,clearance,can_backorder,status,cost,last_costed_date,display_order,barcode,color_name,color_background_color,color_background_image,shipping_weight,shipping_volume,shipping_container,notify_when_instock,source,new_product,core_product
3492,aaa,Large 110x140cm ,6560,DB066-lge,542,0,0,2,0,0,0,n,active,2782,27/05/2011,70,932222900096,Chinchilla/Grey Backed,FFFFFF,,0,0,,y,B,0,0
3491,aaa,Medium 75x110cm ,3250,DB066-med,542,0,0,0,0,0,0,n,active,1378,27/05/2011,80,932222900095,Chinchilla/Grey Backed,FFFFFF,,0,0,,y,B,0,0
3494,aaa,Large 110x140cm,4334,DB067-lge,529,0,0,3,0,0,0,y,active,1781,27/05/2011,88,932222900170,Brown/Brown Backed,FFFFFF,,0,0,,,B,0,0
3493,aaa,Medium 75x110cm,2000,DB067-med,529,0,0,0,0,0,0,y,active,923,27/05/2011,90,932222900169,Brown/Brown Backed,FFFFFF,,0,0,,,B,0,0
3500,aaa,Large 90x110cm,6875,DB070-lge,543,0,0,0,0,0,0,n,active,2750,27/05/2011,25,932222900182,Black Mink/Black Backed,FFFFFF,,0,0,,,B,0,0
3499,aaa,Medium 75x88cm,3935,DB070-med,543,0,0,0,0,0,0,n,active,1574,27/05/2011,30,932222900181,Black Mink/Black Backed,FFFFFF,,0,0,,,B,0,0
3501,aaa,Extra Large 100x125cm,7472,DB070-xlg,543,0,0,0,0,0,0,n,active,2989,27/05/2011,20,932222900183,Black Mink/Black Backed,FFFFFF,,0,0,,,B,0,0
3503,aaa,Large 90x110cm,6875,DB071-lge,543,0,0,0,0,0,0,n,active,2750,27/05/2011,10,932222900098,Chinchilla/Beige Backed,FFFFFF,,0,0,,y,B,0,0
3504,aaa,Medium 75x88cm,3935,DB071-med,543,0,0,0,0,0,0,n,active,1574,27/05/2011,15,932222900097,Chinchilla/Beige Backed,FFFFFF,,0,0,,y,B,0,0
3502,aaa,Extra Large 100x125cm,7472,DB071-xlg,543,0,0,0,0,0,0,n,active,2989,27/05/2011,5,932222900099,Chinchilla/Beige Backed,FFFFFF,,0,0,,y,B,0,0
3527,aaa,Large 87xH23cm,10550,DB072-lge,527,0,0,3,0,0,0,y,active,5530,14/06/2011,80,932222900222,Black Mink,FFFFFF,,0,0,,y,B,0,0
3526,aaa,Medium 72xH20cm,7708,DB072-med,527,0,0,1,0,0,0,y,active,3854,14/06/2011,90,932222900221,Black Mink,FFFFFF,,0,0,,y,B,0,0
