id	description	size	price	product_code	typeid	qty_break	qty_discount	qty_instock	qty_ordered	special	clearance	can_backorder	status	cost	last_costed_date	display_order	barcode	color_name	color_background_color	color_background_image	shipping_weight	shipping_volume	shipping_container	notify_when_instock	source	new_product	core_product
3406	Airline Approved Carry Cage	XLarge (PP50) L82xW56xH60cm<br>6.0kg	9600	CC50	73	3	5	24	0	0	0	y	active	6000	25/05/2012	50	932222900472	Blue/White	FFFFFF		0	0			F	0	0
3686	Airline Approved Carry Cage	XXLarge (PP60) L94xW62xH74cm<br>8.0kg	17100	CC60	73	3	5	19	0	0	0	y	active	9000	20/03/2012	5	932222901209	Blue/White	FFFFFF		0	0			F	0	0
3789	Airline Approved Carry Cage	XXXLarge (PP70) L115xW66xH80cm<br>13.3kg	21000	CC70	73	2	5	4	0	0	0	y	active	12000	1/07/2012	4	932222901372	Blue/Beige	FFFFFF		0	0			F	0	0
3790	Airline Approved Carry Cage<br>Known as either PP70ext or PP80	XXXXLarge (PP70ext) L115xW66xH85cm<br>0.00kg	26250	CC80	73	2	5	10	0	0	0	y	active	15000	26/03/2013	2		Blue/Beige	FFFFFF		0	0		n	F	0	0
3536	Pet Carrier Cardboard Box<br>Min order qty 20pcs	45.5x31x27.5cm	545	CC99	546	0	0	415	0	0	0	n	active	233	27/05/2011	0	NA52		FFFFFF		0	0		y	F	0	0
2684	Animal Shaped Cat Bells	45 pcs assorted	5150	CM010	333	0	0	17	0	0	0	y	active	1000	13/04/2010	0	932222900964		FFFFFF		0	0		y	F	0	0
2685	Coloured Cat Bells	65pcs assorted	3145	CM012	334	0	0	21	0	0	0	y	active	735	13/04/2010	0	932222900995	Assorted	FFFFFF		0	0			F	0	0
2024	Furry Mice<br>24pcs per Card	5cm	2258	CT011	203	0	0	36	0	0	0	n	active	309	16/08/2011	0	932222900498		FFFFFF		0	0		y	F	0	0
2026	Colourful Squeaky Rats<br>Assorted Colours<br>12pcs per Card	11x5cm	2450	CT013	205	0	0	2	0	0	0	n	active	583	7/06/2012	0	932222900497		FFFFFF		0	0		y	F	0	0
2027	Cat Scratching Pole		1423	CT015	206	8	20	0	0	0	0	n	active	536	24/02/2010	90	932222900784		FFFFFF		0	0		y	F	0	0
2035	Crinkle Cat Tunnel	1.3mt	1290	CT028-blu	214	6	20	0	0	0	0	n	active	490	20/09/2011	10	932222901017	Blue/Yellow	FFFFFF		0	0		y	F	0	0
2036	Crinkle Cat Tunnel	1.3mt	1290	CT028-red	214	6	20	0	0	0	0	n	active	490	20/09/2011	5	932222901018	Red/Grey	FFFFFF		0	0		y	F	0	0
2407	Crinkly Cat Tunnel	1.3mt	1995	CT038	226	6	20	0	0	0	0	n	active	764	9/11/2010	0	932222900445	Leopard	FFFFFF		0	0		y	F	0	0
2408	Coloured Mice with Rattle<br>Assorted Colours<br>36pcs per Tub	5cm	2500	CT039	227	0	0	1	0	0	0	n	active	554	16/08/2011	0	932222900430		FFFFFF		0	0		y	F	0	0
2410	Jingle Balls with Bell<br>Assorted Colours<br>36pcs per Tub	4.5cm	1800	CT041	229	0	0	0	0	0	0	n	active	493	7/06/2012	0	932222900780		FFFFFF		0	0		y	F	0	0
2818	Cat Teaser Stick with Display Box (24pc)	47cm	3632	CT052	382	0	0	16	0	0	0	n	active	1032	24/02/2010	0	932222900499		FFFFFF		0	0		y	F	0	0
3450	Vibrating Yellow Duck		195	CT072	533	6	20	225	0	0	0	n	active	78	29/04/2011	0	932222900539		FFFFFF		0	0			F	0	0
3588	Bird with Elastic Cord<br>Bouncing Squeak		250	CT074	563	6	20	500	0	0	0	n	active	103	20/09/2011	20	932222901013	Blue	FFFFFF		0	0			F	0	0
3589	Bird with Elastic Cord<br>Bouncing Squeak		250	CT075	563	6	20	501	0	0	0	n	active	103	20/09/2011	10	932222901014	Purple	FFFFFF		0	0			F	0	0
3590	Jingle Ball with Bell<br>Assorted Colours	8cm	180	CT076	565	24	20	530	0	0	0	n	active	60	20/09/2011	0	932222901015		FFFFFF		0	0			F	0	0
3638	Dancing Feather Wands with Display Box (24pc)	47cm	3985	CT077	595	0	0	0	0	0	0	n	active	1632	1/02/2012	0	932222901118		FFFFFF		0	0		y	F	0	0
3765	Fur Mice<br>Assorted Colours<br>50pcs per Tub	5cm	3200	CT078	613	0	0	38	0	0	0	n	active	1160	7/06/2012	880	932222901221		FFFFFF		0	0			F	0	0
