1718,365
1741,365
1636,365
2541,365
1569,365
1659,365
2634,365
2638,365
2636,365
2481,365
1360,365
1377,365
2637,365
1337,365
2639,365
1649,365
1660,365
1772,365
1930,365
2559,56
2633,365
2640,365
1359,56
1361,84
1372,84
1373,28
1375,28
1389,28
1396,28
1397,14
1403,28
1404,28
1414,28
1415,168
1422,168
2585,84
1430,28
1954,28
1435,28
1438,28
1440,28
1443,168
1448,28
1453,28
1459,28
1466,28
1469,28
1471,84
2615,28
1478,84
2557,28
2560,168
1481,28
2573,56
1486,28
1488,28
1489,28
1490,56
1491,28
1497,28
1498,168
1502,28
2606,84
1520,28
1524,56
1525,84
1531,56
1533,28
1534,28
1537,168
1540,28
2618,28
1542,56
1546,28
1547,56
1548,28
1558,28
1560,28
1563,28
1564,28
1566,56
1567,84
1570,56
1580,28
1583,28
1584,84
1585,28
2610,28
1592,28
1595,28
1599,28
1606,28
1608,28
1611,28
1612,28
1614,84
2567,28
1620,28
1623,56
1624,28
1627,28
1628,84
1630,28
1631,28
1642,28
1644,28
1647,28
1648,28
1650,28
1651,28
2555,28
1677,28
1657,28
1658,168
1663,28
1664,56
1665,28
1666,28
1670,28
1681,28
1682,28
1688,84
2541,365
1691,28
1695,28
1699,28
1700,28
2620,28
1712,56
2608,14
1720,28
1721,28
2614,28
1726,28
1411,28
1735,28
1737,28
1738,28
1746,28
1762,168
1764,28
1765,28
1932,28
1786,56
1790,28
1797,28
2570,28
1803,28
1804,28
2568,28
1808,28
1809,168
1811,84
1812,56
1813,56
1818,28
1824,56
1827,56
1833,28
1855,28
1856,28
1863,28
1867,28
1871,28
2622,28
1875,28
1879,28
1594,28
1884,28
1885,14
1888,28
1889,28
1891,28
2558,84
1895,84
1896,14
1897,7
1899,28
1902,28
1905,168
1934,28
1906,28
1907,84
1909,28
1910,168
1911,28
1920,28
1922,28
1923,28
1924,28
1928,28
1477,84
1549,84
1559,84
1571,84
1605,84
2590,84
2607,84
1951,84
1727,84
1769,84
2386,84
2597,84
1828,84
1836,84
1845,84
2514,84
1917,84
1939,84
1950,84
2547,84
2561,84
2596,84
2629,84
1369,84
1387,84
1424,84
1434,84
1597,84
1616,84
2277,84
1731,84
1774,84
2390,84
2542,84
1823,84
1935,84
1839,84
1921,84
1945,84
2564,84
2575,84
2591,84
2600,84
2611,84
2623,84
2632,84
1362,84
1971,84
2552,84
1475,84
1557,84
2550,84
2551,84
2319,84
1724,84
1779,84
1826,84
2440,84
1842,84
1851,84
1914,84
1948,84
2569,84
2594,84
2604,84
2641,84
1365,84
1410,84
1513,84
2583,84
1551,84
1634,84
1706,84
1719,84
1729,84
1771,84
1783,84
1829,84
1846,84
1866,84
1908,84
1919,84
1941,84
1953,84
2548,84
2588,84
2621,84
2630,84
1370,84
1388,84
1425,84
1456,84
1467,84
1483,84
1543,84
1588,84
1618,84
1722,84
1777,84
1801,84
1860,84
1892,84
1946,84
2592,84
2601,84
2624,84
1363,84
1593,84
1604,84
2612,84
1704,84
1740,84
1766,84
1781,84
1835,84
1844,84
1874,84
2584,84
2580,84
1949,84
2545,84
2579,84
2595,84
2627,84
1366,84
1937,84
1423,84
1479,84
1514,84
1541,84
1552,84
1596,84
1625,84
1643,84
1652,84
1696,84
1784,84
1822,84
1831,84
1838,84
1847,84
1858,84
2543,84
1943,84
2563,84
2574,84
2589,84
2599,84
1371,84
1457,84
1589,84
1610,84
1687,84
1723,84
1789,84
1802,84
1825,84
1834,84
1841,84
1368,84
1947,84
2541,84
2593,84
2603,84
2617,84
2625,84
1364,84
1382,84
1512,28
1522,84
1613,28
1641,28
1662,28
1680,56
1705,28
1757,84
1793,28
1819,84
1865,28
2572,365
2581,28
1376,28
1401,28
2546,28
1442,28
1454,28
1517,28
1553,28
1574,28
1626,84
1655,28
1684,28
1697,28
1708,28
1748,28
1848,28
1859,84
1868,84
1931,28
1379,14
1416,84
1427,28
1436,28
1447,28
1458,84
1470,28
2096,28
1509,84
1603,56
1678,56
1814,14
1872,28
2541,365
2578,28
2626,28
1374,140
1385,140
1399,140
1429,140
1451,140
1462,28
1572,56
2602,28
1744,14
1796,28
1820,28
1837,28
1929,14
2562,28
2598,14
1493,28
1504,84
1518,28
1554,56
1575,28
1609,28
1637,28
1645,28
1676,28
1685,28
1711,14
1763,28
2628,28
1849,28
2587,28
1883,14
2556,140
2565,56
2576,56
2616,28
1380,14
1406,28
2582,28
1428,28
1476,56
1487,28
1511,28
1521,84
1536,28
2613,28
1621,28
1640,28
1671,56
1716,28
2635,14
1791,56
1853,28
1887,28
1915,28
1926,28
2605,28
2619,28
1386,28
2540,28
1441,28
1464,28
1501,56
1573,28
1607,56
1615,28
1635,28
1674,28
1707,28
1730,56
1761,28
1878,28
1901,14
2539,56
2609,84
2631,56
1378,14
1426,28
1446,28
1485,84
2095,84
1519,28
1556,28
1576,28
1601,28
1619,140
1638,28
1668,14
2586,14
1850,28
1912,14
2577,56
1398,28
1419,28
1439,28
1450,28
1460,56
1473,28
