Item Number	Item Name	Buy	Sell	Inventory	Asset Acct	Income Acct	Expense/COS Acct	Item Picture	Description	Use Desc. On Sale	Custom List 1	Custom List 2	Custom List 3	Custom Field 1	Custom Field 2	Custom Field 3	Primary Supplier	Supplier Item Number	Tax Code When Bought	Buy Unit Measure	# Items/Buy Unit	Reorder Quantity	Minimum Level	Selling Price	Sell Unit Measure	Tax Code When Sold	Sell Price Inclusive	Sales Tax Calc. Method	# Items/Sell Unit	Inactive Item 
DC019	Clod/femur bones small 35pc	B	S	I	13000	41120	51120										JCR PET TREATS		GST	box	40	0	0	$40.95	box	GST		0	1	N
DC020	Pork rolls 20pc	B	S	I	13000	41120	51120										UPMARKET PETS		GST	bag	1	0	0	$20.00	bag	GST		0	1	N
DC021	Smoked pigs snouts 50pc	B	S	I	13000	41120	51120										UPMARKET PETS		GST	pc	50	0	0	$25.00	bag	GST		0	50	N
DC022	Smoked pigs trotter split 20pc	B	S	I	13000	41120	51120										UPMARKET PETS		GST	pk	1	0	0	$18.90	pk	GST		0	1	N
DC023	Smoked cows ears 50pc	B	S	I	13000	41120	51120										HUNGRY HOUND PET FOOD		GST	bag	1	0	0	$52.50	bag	GST		0	50	N
DC024	Rawhide plain puppy chips 1kg	B	S	I	13000	41120	51120										UPMARKET PETS		GST	kg	1	0	0	$20.00	kg	GST		0	1	N
DC025	Rawhide baisted puppy chip 1kg	B	S	I	13000	41120	51120										UPMARKET PETS		GST	kg	1	0	0	$22.00	kg	GST		0	1	N
DC030	6x20mm munchy sticks 50pc	B	S	I	13000	41120	51120										MAS IMPORTS	PT82	GST	pk	1	0	0	$13.14	pk	GST		0	1	N
DC032	1" munchy bones 100pc	B	S	I	13000	41120	51120										MAS IMPORTS	PT87	GST	pk	1	0	0	$8.92	pk	GST		0	1	N
DC033	Munchy flat strip 40pc	B	S	I	13000	41120	51120										AUSTWIDE WHOLESALERS PTY LTD	PA3010	GST	pk	1	0	0	$2.45	pk	GST		0	1	N
DC034	Roo tails	B	S	I	13000	41120	51120										HUNGRY HOUND PET FOOD		GST	ea	1	0	0	$1.89	ea	GST		0	1	N
DC035	Roo sausages 25pc	B	S	I	13000	41120	51120										HUNGRY HOUND PET FOOD		GST	bag	1	0	0	$23.95	bag	GST		0	1	N
DC036	Smoked pork rolls 6" 38pc	B	S	I	13000	41120	51120										BONO FIDO PET PRODUCTS	SPR6	GST	cont	1	0	0	$38.00	cont	GST		0	1	N
DC037	Beef crackers 12pc	B	S	I	13000	41120	51120										BONO FIDO PET PRODUCTS	27003	GST	bag	1	0	0	$3.24	bag	GST		0	1	N
DC038	Premium grade beef jerky 1kg	B	S	I	13000	41120	51120										HUNGRY HOUND PET FOOD		GST	kg	1	0	0	$30.00	kg	GST		0	1	N
DC039	Bull sticks 25pc	B	S	I	13000	41120	51120										HUNGRY HOUND PET FOOD		GST	pk	1	0	0	$33.75	pk	GST		0	1	N
DC040	Lamb neck	B	S	I	13000	41120	51120										HUNGRY HOUND PET FOOD		GST	ea	1	0	0	$2.00	ea	GST		0	1	N
DC042	Turkey jerky 1kg	B	S	I	13000	41120	51120										HUNGRY HOUND PET FOOD		GST	kg	1	0	0	$19.75	kg	GST		0	1	N
DC044	Clod/femur bones large 8pc	B	S	I	13000	41120	51120										HUNGRY HOUND PET FOOD		GST	box	1	0	0	$28.80	box	GST		0	1	N
DC045	Baisted pringles 1kg	B	S	I	13000	41120	51120										HUNGRY HOUND PET FOOD		GST	bag	1	0	0	$23.25	bag	GST		0	1	N
DC046	Turkey jerky 120gsm	B	S	I	13000	41120	51120										HUNGRY HOUND PET FOOD		GST	ea	1	0	0	$4.20	ea	GST		0	1	N
DC047	16" knot bone 6pc	B	S	I	13000	41120	51120										BONO FIDO PET PRODUCTS		GST	pk	1	0	0	$15.00	pk	GST		0	1	N
DC048	Munchy twist stixs 30pc	B	S	I	13000	41120	51120										MAS IMPORTS		GST	pk	1	0	0	$5.00	pk	GST		0	1	N
DC049	Beef rattles 1kg	B	S	I	13000	41120	51120										HUNGRY HOUND PET FOOD		GST	bag	1	0	0	$26.64	bag	GST		0	1	N
DC050	R/hide chip pack bacon	B	S	I	13000	41120	51120										BOOKRICH LTD	JRC200	GST	pk	1	0	0	$3.50	pk	GST		0	1	N
DC051	R/hide chip pack peanut butter	B	S	I	13000	41120	51120										BOOKRICH LTD	JRC200	GST	pk	1	0	0	$3.50	pk	GST		0	1	N
DC052	Porkhide pig ears 6pc	B	S	I	13000	41120	51120										BOOKRICH LTD	JPE300	GST	pk	1	0	0	$4.50	pk	GST		0	1	N
DC053	R/hide rolls 22cm cheese 2pc	B	S	I	13000	41120	51120										BOOKRICH LTD	JR22-2	GST	pk	1	0	0	$3.95	pk	GST		0	1	N
DC054	R/hide rolls 22cm chicken 2pc	B	S	I	13000	41120	51120										BOOKRICH LTD	JR22-2	GST	pk	1	0	0	$3.95	pk	GST		0	1	N
DC055	Smoke flavor pork roll 15cm	B	S	I	13000	41120	51120										BOOKRICH LTD	-	GST	ea	1	0	0	$1.00	ea	GST		0	1	N
DC056	12" white retriever stick	B	S	I	13000	41120	51120										HANGZHOU TIANYUAN PET PRODUCTS	YCH3012-12"	GST	ea	1	0	0	$1.50	ea	GST		0	1	N
DC057	Rhide pressed bone 3" o/s	B	S	I	13000	41120	51120										HANGZHOU TIANYUAN PET PRODUCTS	YCH3001-3	GST	pk	1	0	0	$0.33	pk	GST		0	1	N
DC058	Rhide pressed bone 5" o/s	B	S	I	13000	41120	51120										HANGZHOU TIANYUAN PET PRODUCTS	YCH3001-5	GST	pk	1	0	0	$0.80	pk	GST		0	1	N
DC059	Rhide pressed bone 7" o/s	B	S	I	13000	41120	51120										HANGZHOU TIANYUAN PET PRODUCTS	YCH3001-7	GST	pk	1	0	0	$1.00	pk	GST		0	1	N
DC060	Rhide pressed bone 10" o/s	B	S	I	13000	41120	51120										HANGZHOU TIANYUAN PET PRODUCTS	YCH3001-10"	GST	pk	1	0	0	$2.00	pk	GST		0	1	N
DC061	Rhide pressed bone 12" o/s	B	S	I	13000	41120	51120										HANGZHOU TIANYUAN PET PRODUCTS	YCH3001-12"	GST	pk	1	0	0	$3.00	pk	GST		0	1	N
DC062	Rhide knot bone 4-4.5" o/s	B	S	I	13000	41120	51120										HANGZHOU TIANYUAN PET PRODUCTS	YCH3004-4"	GST	pk	1	0	0	$0.38	pk	GST		0	1	N
DC063	Rhide knot bone 5-5.5" o/s	B	S	I	13000	41120	51120										HANGZHOU TIANYUAN PET PRODUCTS	YCH3004-5"	GST	pk	1	0	0	$0.63	pk	GST		0	1	N
DC064	Rhide knot bone 7-7.5" o/s	B	S	I	13000	41120	51120										HANGZHOU TIANYUAN PET PRODUCTS	YCH3004-7"	GST	pk	1	0	0	$1.25	pk	GST		0	1	N
DC065	Rhide knot bone 8-8.5" o/s	B	S	I	13000	41120	51120										HANGZHOU TIANYUAN PET PRODUCTS	YCH3004-8"	GST	pk	1	0	0	$1.75	pk	GST		0	1	N
DC066	Rhide knot bone 10-10.5" o/s	B	S	I	13000	41120	51120										HANGZHOU TIANYUAN PET PRODUCTS	YCH3004-10"	GST	ea	1	0	0	$2.00	ea	GST		0	1	N
DC067	Munchy flat strips 3" 5pcs	B	S	I	13000	41120	51120										HANGZHOU TIANYUAN PET PRODUCTS	YCH3002	GST	pk	1	0	0	$0.80	pk	GST		0	1	N
DCDC01	Doggie carob buds 1kg		S	I	13000	41120	51120																0	$7.00	bag	GST		0	1	N
DCDC05	Doggie carob buds 5kg		S	I	13000	41120	51120																0	$30.00	bag	GST		0	1	N
DCDC25	Doggie carob buds 250gsm		S	I	13000	41120	51120																0	$2.58	ea	GST		0	1	N
DCYB01	Doggie yoghurt buds 1kg	B	S	I	13000	41120	51120										SA CHOCOLATE MAKERS/LEWIS CONFECTIONARY		GST	bag	1	0	0	$10.00	bag	GST		0	1	N
DCYB05	Doggie yoghurt buds 5kg	B	S	I	13000	41120	51120										SA CHOCOLATE MAKERS/LEWIS CONFECTIONARY		GST	bag	1	0	0	$42.00	bag	GST		0	1	N
DCYB25	Doggie yoghurt buds 250gsm	B	S	I	13000	41120	51120										SA CHOCOLATE MAKERS/LEWIS CONFECTIONARY		GST	ea	1	0	0	$2.95	ea	GST		0	1	N
DONDSET-blu	Donut basket deluxe set3 blue	B	S	I	13000	41115	51115										HANGZHOU TIANYUAN PET PRODUCTS	YF5026-blue	GST	set	1	0	0	$57.00	set	GST		0	1	N
DONDSET-brn	Donut basket deluxe set3 brown	B	S	I	13000	41115	51115										HANGZHOU TIANYUAN PET PRODUCTS	YF5026-brown	GST	set	1	0	0	$57.00	set	GST		0	1	N
DT008	Sponge rubber balls 24pcs	B	S	I	13000	41140	51140										HANGZHOU TIANYUAN PET PRODUCTS	YT4214	GST	pk	1	0	0	$30.00	pk	GST		0	1	N
DT010	Sponge star ball small	B	S	I	13000	41140	51140										SINGGY KING PET	RR260-70	GST	ea	1	0	0	$2.50	ea	GST		0	1	N
DT013	Bone shaped tennis ball	B	S	I	13000	41140	51140										LAULEX AUSTRALIA		GST	ea	1	0	0	$3.30	ea	GST		0	1	N
DT018	Jumbo tennis  ball 10cm	B	S	I	13000	41140	51140										AUSTWIDE WHOLESALERS PTY LTD	PA0061B	GST	ea	1	0	0	$3.50	ea	GST		0	1	N
DT019	Fleecy squeaky bone (Sherpa)	B	S	I	13000	41140	51140										AUSTWIDE WHOLESALERS PTY LTD	PA1001B	GST	ea	1	0	0	$3.50	ea	GST		0	1	N
DT021	Rope with 2 tennis balls	B	S	I	13000	41140	51140										AUSTWIDE WHOLESALERS PTY LTD	PA1032B	GST	ea	1	0	0	$3.50	ea	GST		0	1	N
DT022	Plush coloured star with 6 sq	B	S	I	13000	41140	51140										HANGZHOU TIANYUAN PET PRODUCTS	YT3790	GST	ea	1	0	0	$4.50	ea	GST		0	1	N
DT023	Dog chew rope w/3 sausages	B	S	I	13000	41140	51140										AUSTWIDE WHOLESALERS PTY LTD	PA0064B	GST	ea	1	0	0	$3.50	ea	GST		0	1	N
DT027	Back saver grab & throw stick	B	S	I	13000	41140	51140										AUSTWIDE WHOLESALERS PTY LTD	PA1042B	GST	ea	1	0	0	$4.95	ea	GST		0	1	N
DT029	Pet toy dispenser large	B	S	I	13000	41140	51140										AUSTWIDE WHOLESALERS PTY LTD	PA1055B	GST	ea	1	0	0	$4.95	ea	GST		0	1	N
DT030	Heavy duty life ring pull toy	B	S	I	13000	41140	51140										AUSTWIDE WHOLESALERS PTY LTD	PA1056B	GST	ea	1	0	0	$4.45	ea	GST		0	1	N
DT031	Odd shape tennis ball	B	S	I	13000	41140	51140										AUSTWIDE WHOLESALERS PTY LTD	PA1044B	GST	ea	1	0	0	$3.30	ea	GST		0	1	N
DT036	Spike dog squeak ball 24pc	B	S	I	13000	41140	51140										HANGZHOU TIANYUAN PET PRODUCTS	YT3326	GST	pk	1	0	0	$36.00	pk	GST		0	1	N
DT037	Solid rubber ball with rope	B	S	I	13000	41140	51140										AUSTWIDE WHOLESALERS PTY LTD	PA0091B/PA0022B	GST	ea	1	0	0	$2.25	ea	GST		0	1	N
DT041	Dog beer can 15pc Squeaky	B	S	I	13000	41140	51140										AUSTWIDE WHOLESALERS PTY LTD	PA1085	GST	box	1	0	0	$25.00	box	GST		0	1	N
DT042	Dog cat sheep squeaky toy 3pc	B	S	I	13000	41140	51140										AUSTWIDE WHOLESALERS PTY LTD	PA1096	GST	ea	1	0	0	$6.60	pk	GST		0	1	N
DT044	Jumbo rainbow sqky animal 4pc	B	S	I	13000	41140	51140										AUSTWIDE WHOLESALERS PTY LTD	PA1092	GST	ea	1	0	0	$11.60	pk	GST		0	1	N
DT045	Jumbo plush dog bone 4 ass	B	S	I	13000	41140	51140										AUSTWIDE WHOLESALERS PTY LTD	PA1093	GST	ea	1	0	0	$8.40	ea	GST		0	1	N
DT046	Tuff Tyre toy with rope	B	S	I	13000	41140	51140										AUSTWIDE WHOLESALERS PTY LTD	PA1116	GST	ea	1	44	44	$4.20	ea	GST		0	1	N
DT047	Tuff tyre toy bone type	B	S	I	13000	41140	51140										AUSTWIDE WHOLESALERS PTY LTD	PA1118	GST	ea	1	44	44	$5.00	ea	GST		0	1	N
DT049	Play n chase ball	B	S	I	13000	41140	51140										AUSTWIDE WHOLESALERS PTY LTD	PA1121	GST	ea	1	0	0	$5.75	ea	GST		0	1	N
DT053	Blood hound, Joe dog w/ban 2pc	B	S	I	13000	41140	51140										AUSTWIDE WHOLESALERS PTY LTD	PA1137	GST	ea	1	0	0	$4.90	pk	GST		0	1	N
DT054	Tyre tuff buddies dog toy 3pc	B	S	I	13000	41140	51140										AUSTWIDE WHOLESALERS PTY LTD	PA1156	GST	ea	1	0	0	$5.85	pk	GST		0	1	N
DT055	Astd h/ware buddies w sqk 6pc	B	S	I	13000	41140	51140										AUSTWIDE WHOLESALERS PTY LTD	PA1157	GST	ea	1	0	0	$11.70	pk	GST		0	1	N
DT056	Mint fresh dog breath ball	B	S	I	13000	41140	51140										INDEPENDENCE STUDIOS	A10775	GST	ea	1	0	0	$6.80	ea	GST		0	1	N
DT057	Barking dogs display 16pc	B	S	I	13000	41140	51140										INDEPENDENCE STUDIOS	DZ290	GST	box	1	0	0	$94.72	box	GST		0	1	N
DT058	Plush dog toy v/bl w/sq 2 ass	B	S	I	13000	41140	51140										AUSTWIDE WHOLESALERS PTY LTD	PA1150	GST	set	1	0	0	$9.92	set	GST		0	1	N
DT059	Premium gym boot w/sq 3ass	B	S	I	13000	41140	51140										AUSTWIDE WHOLESALERS PTY LTD	PA1009	GST	set	1	0	0	$7.44	set	GST		0	1	N
DT060	Dog gift set 6pc (3assorted)	B	S	I	13000	41140	51120										BOOKRICH LTD	G3378	GST	pk	1	0	0	$6.00	pk	GST		0	1	N
DT061	Plush animal des sq toy 6ass	B	S	I	13000	41140	51120										BOOKRICH LTD	2688	GST	set	1	0	0	$15.00	set	GST		0	1	N
DT062	Rope w/rubber solid/rbr cylind	B	S	I	13000	41140	51140										HANGZHOU TIANYUAN PET PRODUCTS	YT3623	GST	ea	1	0	0	$2.00	ea	GST		0	1	N
DT063	Plush coloured ball with sq	B	S	I	13000	41140	51140										HANGZHOU TIANYUAN PET PRODUCTS	YT3810	GST	ea	1	0	0	$2.50	ea	GST		0	1	N
DT064	Spikey animal sq PVC toy 2pcs	B	S	I	13000	41140	51140										HANGZHOU TIANYUAN PET PRODUCTS	YT3142&YT3145	GST	set	1	0	0	$4.45	set	GST		0	1	N
DT065	Rnd animal sq PVC bl toys 4pcs	B	S	I	13000	41140	51140										HANGZHOU TIANYUAN PET PRODUCTS	YT3303/05/10/13	GST	set	1	0	0	$6.30	set	GST		0	1	N
DT066	Rope bone coloured 8"	B	S	I	13000	41140	51140										HANGZHOU TIANYUAN PET PRODUCTS	YT3687-8	GST	ea	1	0	0	$1.30	ea	GST		0	1	N
DT067	Rope bone coloured 10"	B	S	I	13000	41140	51140										HANGZHOU TIANYUAN PET PRODUCTS	YT3687-10	GST	ea	1	0	0	$1.40	ea	GST		0	1	N
DT068	Rope bone coloured 12"	B	S	I	13000	41140	51140										HANGZHOU TIANYUAN PET PRODUCTS	YT3687-13	GST	ea	1	0	0	$1.50	ea	GST		0	1	N
DT069	Rope bone white 8"	B	S	I	13000	41140	51140										HANGZHOU TIANYUAN PET PRODUCTS	YT3688-8	GST	ea	1	0	0	$1.40	ea	GST		0	1	N
DT070	Rope bone white 10"	B	S	I	13000	41140	51140										HANGZHOU TIANYUAN PET PRODUCTS	YT3688-13	GST	ea	1	0	0	$1.50	ea	GST		0	1	N
DT071	Rope bone white 12"	B	S	I	13000	41140	51140										HANGZHOU TIANYUAN PET PRODUCTS	YT3688-13	GST	ea	1	0	0	$1.60	ea	GST		0	1	N
DT072	Tiny big attitude dogs 12 pc	B	S	I	13000	41505	51505										AUSTWIDE WHOLESALERS PTY LTD	NO0170	GST	ea	1	0	0	$23.76	ea	GST		0	1	N
DT073	Duck/chicken ltx tget toy 2pc	B	S	I	13000	41505	51505										AUSTWIDE WHOLESALERS PTY LTD	PA1152	GST	ea	1	0	0	$7.40	ea	GST		0	1	N
FF01-blu	K-9 Fun Flyer blue	B	S	I	13000	41140	51140										HGC INDUSTRIES PTY LTD		GST	ea	1	200	0	$4.50	ea	GST		0	1	N
FF01-grn	K-9 Fun Flyer green	B	S	I	13000	41140	51140										HGC INDUSTRIES PTY LTD		GST	ea	1	200	0	$4.50	ea	GST		0	1	N
FF01-red	K-9 Fun Flyer red	B	S	I	13000	41140	51140										HGC INDUSTRIES PTY LTD		GST	ea	1	200	0	$4.50	ea	GST		0	1	N
FF01-yel	K-9 Fun Flyer yellow	B	S	I	13000	41140	51140										HGC INDUSTRIES PTY LTD		GST	ea	1	200	0	$4.50	ea	GST		0	1	N
FUTDCLGE-dkb	Dlxe futon cvr lge dark blue	B	S	I	13000	41115	51115										K-9 HOMES		GST	ea	1	0	0	$26.21	ea	GST		0	1	N
FUTDCLGE-fle	Dlxe futon cvr lge leopard	B	S	I	13000	41115	51115										K-9 HOMES		GST	ea	1	0	0	$26.21	ea	GST		0	1	N
FUTDCLGE-fpa	Dlxe futon cvr lge panther	B	S	I	13000	41115	51115										K-9 HOMES		GST	ea	1	0	0	$26.21	ea	GST		0	1	N
FUTDCLGE-nat	Dlxe futon cvr lge natural	B	S	I	13000	41115	51115										K-9 HOMES		GST	ea	1	0	0	$26.21	ea	GST		0	1	N
FUTDCMED-dkb	Dlxe futon cvr med dark blue	B	S	I	13000	41115	51115										K-9 HOMES		GST	ea	1	0	0	$20.04	ea	GST		0	1	N
FUTDCMED-fle	Dlxe futon cvr med leopard	B	S	I	13000	41115	51115										K-9 HOMES		GST	ea	1	0	0	$20.04	ea	GST		0	1	N
FUTDCMED-fpa	Dlxe futon cvr med panther	B	S	I	13000	41115	51115										K-9 HOMES		GST	ea	1	0	0	$20.04	ea	GST		0	1	N
FUTDCMED-nat	Dlxe futon cvr med natural	B	S	I	13000	41115	51115										K-9 HOMES		GST	ea	1	0	0	$20.04	ea	GST		0	1	N
FUTDCXLG-dkb	Dlxe futon cvr xlg dark blue	B	S	I	13000	41115	51115										K-9 HOMES		GST	ea	1	0	0	$32.90	ea	GST		0	1	N
FUTDCXLG-fle	Dlxe futon cvr xlg leopard	B	S	I	13000	41115	51115										K-9 HOMES		GST	ea	1	0	0	$32.90	ea	GST		0	1	N
FUTDCXLG-fpa	Dlxe futon cvr xlg panther	B	S	I	13000	41115	51115										K-9 HOMES		GST	ea	1	0	0	$32.90	ea	GST		0	1	N
FUTDCXLG-nat	Dlxe futon cvr xlg natural	B	S	I	13000	41115	51115										K-9 HOMES		GST	ea	1	0	0	$32.90	ea	GST		0	1	N
FUTDLGE-dkb	Deluxe futon lge dark blue		S	I	13000	41115	51115																0	$44.21	ea	GST		0	1	N
FUTDLGE-fle	Deluxe futon lge leopard		S	I	13000	41115	51115																0	$44.21	ea	GST		0	1	N
FUTDLGE-fpa	Deluxe futon lge panther		S	I	13000	41115	51115																0	$44.21	ea	GST		0	1	N
FUTDLGE-nat	Deluxe futon lge natural		S	I	13000	41115	51115																0	$44.21	ea	GST		0	1	N
FUTDMED-dkb	Deluxe futon med dark blue		S	I	13000	41115	51115																0	$31.00	ea	GST		0	1	N
FUTDMED-fle	Deluxe futon med leopard		S	I	13000	41115	51115																0	$31.00	ea	GST		0	1	N
FUTDMED-fpa	Deluxe futon med panther		S	I	13000	41115	51115																0	$31.00	ea	GST		0	1	N
FUTDMED-nat	Deluxe futon med natural		S	I	13000	41115	51115																0	$31.00	ea	GST		0	1	N
FUTDXLG-dkb	Deluxe futon xlg dark blue		S	I	13000	41115	51115																0	$53.57	ea	GST		0	1	N
FUTDXLG-fle	Deluxe futon xlg leopard		S	I	13000	41115	51115																0	$53.57	ea	GST		0	1	N
FUTDXLG-fpa	Deluxe futon xlg panther		S	I	13000	41115	51115																0	$53.57	ea	GST		0	1	N
FUTDXLG-nat	Deluxe futon xlg natural		S	I	13000	41115	51115																0	$53.57	ea	GST		0	1	N
FUTPCLGE-fbw	Prem futon cvr lge fur b/w	B	S	I	13000	41115	51115												GST	ea	1	0	0	$29.21	ea	GST		0	1	N
FUTPCMED-fbw	Prem futon cvr med fur b/w	B	S	I	13000	41115	51115												GST	ea	1	0	0	$22.04	ea	GST		0	1	N
FUTPCXLG-fbw	Prem futon cvr xlg fur b/w	B	S	I	13000	41115	51115												GST	ea	1	0	0	$36.90	ea	GST		0	1	N
FUTPLGE-fbw	Premium futon lge fur b/w	B	S	I	13000	41115	51115												GST	ea	1	0	0	$46.95	ea	GST		0	1	N
FUTPMED-fbw	Premium futon med fur b/w	B	S	I	13000	41115	51115												GST	ea	1	0	0	$32.95	ea	GST		0	1	N
FUTPXLG-fbw	Premium futon xlg fur b/w	B	S	I	13000	41115	51115												GST	ea	1	0	0	$56.95	ea	GST		0	1	N
FUTSCLGE-xxx	Std futon cvr lge	B	S	I	13000	41115	51115										K-9 HOMES		GST	EA	1	0	0	$21.21	ea	GST		0	1	N
FUTSCMED-xxx	Std futon cvr med	B	S	I	13000	41115	51115										K-9 HOMES		GST	ea	1	0	0	$15.04	ea	GST		0	1	N
FUTSCXLG-xxx	Std futon cvr xlg	B	S	I	13000	41115	51115										K-9 HOMES		GST	ea	1	0	0	$27.90	ea	GST		0	1	N
FUTSLGE-xxx	Standard futon lge		S	I	13000	41115	51115																0	$39.21	ea	GST		0	1	N
FUTSMED-xxx	Standard futon med		S	I	13000	41115	51115																0	$26.00	ea	GST		0	1	N
FUTSXLG-xxx	Standard futon xlg		S	I	13000	41115	51115																0	$47.07	ea	GST		0	1	N
GIFT01	Complementary gift enc (torch)	B	S	I	13000	41505	51505										AUSTWIDE WHOLESALERS PTY LTD		GST	ea	1	0	0	$0.00	ea	GST		0	1	N
GIFT02	Complementary gift enc (cal)	B	S	I	13000	41505	51505										AUSTWIDE WHOLESALERS PTY LTD		GST	ea	1	0	0	$0.00	ea	GST		0	1	N
GIFT03	Complementary gift enc (marsh)	B	S	I	13000	41505	51505										AUSTWIDE WHOLESALERS PTY LTD	FO1096	GST	pk	1	0	0	$0.00	pk	GST		0	1	N
GIFT04	Complementary gift enc (mug)	B	S	I	13000	41505	51505										AUSTWIDE WHOLESALERS PTY LTD		GST	ea	1	0	0	$0.00	ea	GST		0	1	N
GIFT05	Complementary gift enc (nbook)	B	S	I	13000	41505	51505										AUSTWIDE WHOLESALERS PTY LTD	SA2173	GST	ea	1	0	0	$0.00	ea	GST		0	1	N
GIFT06	Complementary gift enc (bin)	B	S	I	13000	41505	51505										AUSTWIDE WHOLESALERS PTY LTD	GW1013	GST	ea	1	0	0	$0.00	ea	GST		0	1	N
GIFT07	Xmas topiary reindeer gift	B	S	I	13000	41505	51505										AUSTWIDE WHOLESALERS PTY LTD	XM3148B	GST	ea	1	0	0	$0.00	ea	GST		0	1	N
GIFT08	Xmas crystal angel gift	B	S	I	13000	41505	51505										AUSTWIDE WHOLESALERS PTY LTD	XM3783	GST	ea	1	0	0	$0.00	ea	GST		0	1	N
GIFT09	Xmas sitting santa gift	B	S	I	13000	41505	51505										AUSTWIDE WHOLESALERS PTY LTD	XM3808	GST	ea	1	0	0	$0.00	ea	GST		0	1	N
GIFT10	Xmas blown glass ball gift	B	S	I	13000	41505	51505										AUSTWIDE WHOLESALERS PTY LTD	XM3405	GST	ea	1	0	0	$0.00	ea	GST		0	1	N
GIFT11	Xmas puppy/bear gift	B	S	I	13000	41165	51165										AUSTWIDE WHOLESALERS PTY LTD	XM3776	GST	ea	1	0	0	$0.00	ea	GST		0	1	N
GIFT12	Xmas santa head gift	B	S	I	13000	41165	51165										AUSTWIDE WHOLESALERS PTY LTD	XM4050	GST	ea	1	0	0	$0.00	ea	GST		0	1	N
GIFT13	Xmas sitting music bear gift	B	S	I	13000	41165	51165										AUSTWIDE WHOLESALERS PTY LTD	XM4058	GST	ea	1	0	0	$0.00	ea	GST		0	1	N
GIFT14	Xmas plush reindeer gift	B	S	I	13000	41165	51165										AUSTWIDE WHOLESALERS PTY LTD	XM4061	GST	ea	1	0	0	$0.00	ea	GST		0	1	N
GIFT15	Xmas floating candles 10p gift	B	S	I	13000	41165	51165										AUSTWIDE WHOLESALERS PTY LTD	XM6011B	GST	ea	1	0	0	$0.00	ea	GST		0	1	N
GR21	Dog & cat shampoo 500ml	B	S	I	13000	41135	51135										REDWIN	SHD500	GST	ea	1	0	0	$2.00	ea	GST		0	1	N
GR51	Cat repair 9 tubs	B	S	I	13000	41235	51235										DYNAMO HOUSE	CARU	GST	box	1	0	0	$26.00	box	GST		0	1	N
GR52	Neem pet wash soap 12cakes	B	S	I	13000	41135	51135										DYNAMO HOUSE	NESPETU	GST	box	1	0	0	$25.45	box	GST		0	1	N
GR53	Dog polish 9 tubs	B	S	I	13000	41135	51135										DYNAMO HOUSE	DPU	GST	box	1	0	0	$26.00	box	GST		0	1	N
GR60	Cat garden	B	S	I	13000	41235	51235										DYNAMO HOUSE	CGKU	GST	ea	1	0	0	$6.42	ea	GST		0	1	N
GR61	Bella #5 pooch perfume	B	S	I	13000	41135	51135										DYNAMO HOUSE	BPPU	GST	ea	1	0	0	$5.25	ea	GST		0	1	N
GR62-blk	Dlxe untangling dog comb black	B	S	I	13000	41135	51135										AUSTWIDE WHOLESALERS PTY LTD	PA0126	GST	ea	1	0	0	$2.50	ea	GST		0	1	N
GR62-blu	Dlxe untangling dog comb blue	B	S	I	13000	41135	51135										AUSTWIDE WHOLESALERS PTY LTD		GST	ea	1	0	0	$2.50	ea	GST		0	1	N
GR63	Dr Dog polish & brush set	B	S	I	13000	41135	51135										DYNAMO HOUSE	DRDPB	GST	ea	1	0	0	$7.62	ea	GST		0	1	N
GR64	Dr Dog pet shampoo	B	S	I	13000	41135	51135										DYNAMO HOUSE	DRDSH	GST	ea	1	0	0	$9.25	ea	GST		0	1	N
GR65	Dr Dog pet conditioner	B	S	I	13000	41135	51135										DYNAMO HOUSE	DRDC	GST	ea	1	0	0	$5.85	ea	GST		0	1	N
GR66	Pin brush	B	S	I	13000	41135	51135										BOOKRICH LTD	747-1	GST	ea	1	0	0	$3.95	ea	GST		0	1	N
GR67	Double side brush pin/nylon	B	S	I	13000	41135	51135										BOOKRICH LTD	747-2	GST	ea	1	0	0	$3.50	ea	GST		0	1	N
GR68	Shedding rake	B	S	I	13000	41135	51135										BOOKRICH LTD	747-3	GST	ea	1	0	0	$4.44	ea	GST		0	1	N
GR69	18pin rake	B	S	I	13000	41135	51135										BOOKRICH LTD	747-4	GST	ea	1	0	0	$3.17	ea	GST		0	1	N
GR70	Slicker wire brush	B	S	I	13000	41135	51135										BOOKRICH LTD	747-5	GST	ea	1	0	0	$4.44	ea	GST		0	1	N
GR71	Double sided comb	B	S	I	13000	41135	51135										BOOKRICH LTD	747-6	GST	ea	1	0	0	$4.44	ea	GST		0	1	N
GR97	Dog/cat flex massage bsh 2ass	B	S	I	13000	41135	51135										AUSTWIDE WHOLESALERS PTY LTD	PA0032	GST	ea	1	0	0	$5.42	set	GST		0	1	N
HP009	Dog walk leash bag	B	S	I	13000	41145	51145										AUSTWIDE WHOLESALERS PTY LTD		GST	ea	1	24	12	$4.95	ea	GST		0	1	N
IGLBLGE-xxx	Budget igloo large	B	S	I	13000	41230	51230												GST	ea	1	0	0	$20.24	ea	GST		0	1	N
IGLBMED-xxx	Budget igloo medium	B	S	I	13000	41230	51230												GST	ea	1	0	0	$16.63	ea	GST		0	1	N
IGLDLGE-fle	Deluxe igloo large leopard	B	S	I	51115	41230	51230												GST	ea	1	0	0	$34.00	ea	GST		0	1	N
IGLDLGE-fpa	Deluxe igloo large panther	B	S	I	51115	41230	51230												GST	ea	1	0	0	$34.00	ea	GST		0	1	N
