product_code	description	price	current_product_code	typeid	catid	
LC154	20x120cm bowl/bone embr collar	394		66	6	0
LC155	25x120cm bowl/bone embr collar	394		66	6	0
			LC450-pnk	67	6	0
LC502-blk	S rfl clr 10x20-30 black	385	LC502-blk	132	6	1
LC502-dkb	S rfl clr 10x20-30 dark blue	385	LC502-dkb	132	6	1
LC502-pur	S rfl clr 10x20-30 purple	385	LC502-pur	132	6	1
LC502-red	S rfl clr 10x20-30 red	385	LC502-red	132	6	1
LC504-blk	S rfl clr 20x25-45 black	462	LC504-blk	132	6	1
LC504-dkb	S rfl clr 20x25-45 dark blue	462	LC504-dkb	132	6	1
LC504-pur	S rfl clr 20x25-45 purple	462	LC504-pur	132	6	1
LC504-red	S rfl clr 20x25-45 red	462	LC504-red	132	6	1
LC508-blk	S rfl clr 25x50-70 black	644	LC508-blk	132	6	1
LC508-dkb	S rfl clr 25x50-70 dark blue	644	LC508-dkb	132	6	1
LC508-pur	S rfl clr 25x50-70 purple	644	LC508-pur	132	6	1
LC508-red	S rfl clr 25x50-70 red	644	LC508-red	132	6	1
LC510-blk	S rfl ld 10x120 black	553	LC510-blk	133	6	1
LC510-dkb	S rfl ld 10x120 dark blue	553	LC510-dkb	133	6	1
LC510-pur	S rfl ld 10x120 purple	553	LC510-pur	133	6	1
LC510-red	S rfl ld 10x120 red	553	LC510-red	133	6	1
LC512-blk	S rfl ld 20x120 black	756	LC512-blk	133	6	1
LC512-dkb	S rfl ld 20x120 dark blue	756	LC512-dkb	133	6	1
LC512-pur	S rfl ld 20x120 purple	756	LC512-pur	133	6	1
LC512-red	S rfl ld 20x120 red	756	LC512-red	133	6	1
LC514-blk	S rfl ld 25x120 black	756	LC514-blk	133	6	1
LC514-dkb	S rfl ld 25x120 dark blue	756	LC514-dkb	133	6	1
LC514-pur	S rfl ld 25x120 purple	756	LC514-pur	133	6	1
LC514-red	S rfl ld 25x120 red	756	LC514-red	133	6	1
LC532	Car harness small	621	LC532	71	6	1
LC534	Car harness medium	711	LC534	71	6	1
LC536	Car harness large	867	LC536	71	6	1
LC538	Car harness extra large	990	LC538	71	6	1
LC540-blk	Plain lth clr 12x35 black	220	LC540-blk	124	6	1
LC540-red	Plain lth clr 12x35 red	220	LC540-red	124	6	1
LC540-tan	Plain lth clr 12x35 tan	220	LC540-tan	124	6	1
LC542-blk	Plain lth clr 18x45 black	320	LC542-blk	124	6	1
LC542-red	Plain lth clr 18x45 red	320	LC542-red	124	6	1
LC542-tan	Plain lth clr 18x45 tan	320	LC542-tan	124	6	1
LC544-blk	Plain lth clr 25x55 black	440	LC544-blk	124	6	1
LC544-red	Plain lth clr 25x55 red	440	LC544-red	124	6	1
LC544-tan	Plain lth clr 25x55 tan	440	LC544-tan	124	6	1
LC546-blk	Plain lth clr 30x65 black	680	LC546-blk	124	6	1
LC546-red	Plain lth clr 30x65 red	680	LC546-red	124	6	1
LC546-tan	Plain lth clr 30x65 tan	680	LC546-tan	124	6	1
LC620-blk	Suede puppy clr 10x30 black	210	LC620-blk	139	6	1
LC620-blu	Suede puppy clr 10x30 blue	210	LC620-blu	139	6	1
LC620-pur	Suede puppy clr 10x30 purple	210	LC620-pur	139	6	1
LC620-red	Suede puppy clr 10x30 red	210	LC620-red	139	6	1
LC621	Metallic cat collar	196	LC621	119	6	1
LC624-blk	Suede puppy ld 10x105cm black	230	LC624-blk	140	6	1
LC624-blu	Suede puppy ld 10x105cm blue	230	LC624-blu	140	6	1
LC624-pur	Suede puppy ld 10x105cm purple	230	LC624-pur	140	6	1
LC624-red	Suede puppy ld 10x105cm red	230	LC624-red	140	6	1
LC627-blk	Patent puppy collar black	224		122	6	0
LC627-red	Patent puppy collar red	224	LC627-red	122	6	1
LC630-blk	WB col adj 20x25-45 black	449	LC630-blk	146	6	1
LC630-dkb	WB col adj 20x25-45 dark blue	449	LC630-dkb	146	6	1
LC630-ltb	WB col adj 20x25-45 light blue	449	LC630-ltb	146	6	1
LC630-pur	WB col adj 20x25-45 purple	449	LC630-pur	146	6	1
LC630-red	WB col adj 20x25-45 red	449	LC630-red	146	6	1
LC632-blk	WB col adj 25x50-70 black	486	LC632-blk	146	6	1
LC632-dkb	WB col adj 25x50-70 dark blue	486	LC632-dkb	146	6	1
LC632-ltb	WB col adj 25x50-70 light blue	486	LC632-ltb	146	6	1
LC632-pur	WB col adj 25x50-70 purple	486	LC632-pur	146	6	1
LC632-red	WB col adj 25x50-70 red	486	LC632-red	146	6	1
LC634-blk	WB col adj 10x20-30 black	318	LC634-blk	146	6	1
LC634-dkb	WB col adj 10x20-30 dark blue	318	LC634-dkb	146	6	1
LC634-ltb	WB col adj 10x20-30 light blue	318	LC634-ltb	146	6	1
LC634-pur	WB col adj 10x20-30 purple	318	LC634-pur	146	6	1
LC634-red	WB col adj 10x20-30 red	318	LC634-red	146	6	1
LC636-blk	WB col adj 15x25-45 black	421	LC636-blk	146	6	1
LC636-dkb	WB col adj 15x25-45 dark blue	421	LC636-dkb	146	6	1
LC636-ltb	WB col adj 15x25-45 light blue	421	LC636-ltb	146	6	1
LC636-pur	WB col adj 15x25-45 purple	421	LC636-pur	146	6	1
LC636-red	WB col adj 15x25-45 red	421	LC636-red	146	6	1
LC661	Printed webbed lead 120cm	435	LC661	128	6	1
LC663-blk	WB lead 10x120 black	299	LC663-blk	148	6	1
LC663-dkb	WB lead 10x120 dark blue	299	LC663-dkb	148	6	1
LC663-ltb	WB lead 10x120 light blue	299	LC663-ltb	148	6	1
LC663-pur	WB lead 10x120 purple	299	LC663-pur	148	6	1
LC663-red	WB lead 10x120 red	299	LC663-red	148	6	1
LC664-blk	WB lead 10x180 black	329	LC664-blk	148	6	1
LC664-dkb	WB lead 10x180 dark blue	329	LC664-dkb	148	6	1
LC664-ltb	WB lead 10x180 light blue	329	LC664-ltb	148	6	1
LC664-pur	WB lead 10x180 purple	329	LC664-pur	148	6	1
LC664-red	WB lead 10x180 red	329	LC664-red	148	6	1
LC667-blk	WB lead 15x120 black	365	LC667-blk	148	6	1
LC667-dkb	WB lead 15x120 dark blue	365	LC667-dkb	148	6	1
LC667-ltb	WB lead 15x120 light blue	365	LC667-ltb	148	6	1
LC667-pur	WB lead 15x120 purple	365	LC667-pur	148	6	1
LC667-red	WB lead 15x120 red	365	LC667-red	148	6	1
LC668-blk	WB lead 15x180 black	411	LC668-blk	148	6	1
LC668-dkb	WB lead 15x180 dark blue	411	LC668-dkb	148	6	1
LC668-ltb	WB lead 15x180 light blue	411	LC668-ltb	148	6	1
LC668-pur	WB lead 15x180 purple	411	LC668-pur	148	6	1
LC668-red	WB lead 15x180 red	411	LC668-red	148	6	1
LC672-blk	WB lead 20x120 black	393	LC672-blk	148	6	1
LC672-dkb	WB lead 20x120 dark blue	393	LC672-dkb	148	6	1
LC672-ltb	WB lead 20x120 light blue	393	LC672-ltb	148	6	1
LC672-pur	WB lead 20x120 purple	393	LC672-pur	148	6	1
LC672-red	WB lead 20x120 red	393	LC672-red	148	6	1
LC674-blk	WB lead 25x45 black	355	LC674-blk	148	6	1
LC674-dkb	WB lead 25x45 dark blue	355	LC674-dkb	148	6	1
LC674-ltb	WB lead 25x45 light blue	355	LC674-ltb	148	6	1
LC674-pur	WB lead 25x45 purple	355	LC674-pur	148	6	1
LC674-red	WB lead 25x45 red	355	LC674-red	148	6	1
LC675-blk	15mm smart lead black	600	LC675-blk	61	6	1
LC675-dkb	15mm smart lead dark blue	600	LC675-dkb	61	6	1
LC675-ltb	15mm smart lead light blue	600	LC675-ltb	61	6	1
LC675-pur	15mm smart lead purple	600	LC675-pur	61	6	1
LC675-red	15mm smart lead red	600	LC675-red	61	6	1
LC676-blk	WB lead 25x90 black	402	LC676-blk	148	6	1
LC676-dkb	WB lead 25x90 dark blue	402	LC676-dkb	148	6	1
LC676-ltb	WB lead 25x90 light blue	402	LC676-ltb	148	6	1
LC676-pur	WB lead 25x90 purple	402	LC676-pur	148	6	1
LC676-red	WB lead 25x90 red	405	LC676-red	148	6	1
LC677-blk	WB lead 25x120 black	449	LC677-blk	148	6	1
LC677-dkb	WB lead 25x120 dark blue	449	LC677-dkb	148	6	1
LC677-ltb	WB lead 25x120 light blue	449	LC677-ltb	148	6	1
LC677-pur	WB lead 25x120 purple	449	LC677-pur	148	6	1
LC677-red	WB lead 25x120 red	449	LC677-red	148	6	1
LC678-blk	WB lead 25x180 black	514	LC678-blk	148	6	1
LC678-dkb	WB lead 25x180 dark blue	514	LC678-dkb	148	6	1
LC678-ltb	WB lead 25x180 light blue	514	LC678-ltb	148	6	1
LC678-pur	WB lead 25x180 purple	514	LC678-pur	148	6	1
LC678-red	WB lead 25x180 red	514	LC678-red	148	6	1
LC679-blk	25mm smart lead black	655	LC679-blk	61	6	1
LC679-dkb	25mm smart lead dark blue	655	LC679-dkb	61	6	1
LC679-ltb	25mm smart lead light blue	655	LC679-ltb	61	6	1
LC679-pur	25mm smart lead purple	655	LC679-pur	61	6	1
LC679-red	25mm smart lead red	655	LC679-red	61	6	1
LC690-blk	WB dbler lead 25x75 black	691	LC690-blk	147	6	1
LC690-dkb	WB dbler lead 25x75 dark blue	691	LC690-dkb	147	6	1
LC690-ltb	WB dbler lead 25x75 light blue	691	LC690-ltb	147	6	1
LC690-pur	WB dbler lead 25x75 purple	691	LC690-pur	147	6	1
LC690-red	WB dbler lead 25x75red	691	LC690-red	147	6	1
LC691-blk	WB dbler lead 15x75 black	650	LC691-blk	147	6	1
LC691-dkb	WB dbler lead 15x75 dark blue	650	LC691-dkb	147	6	1
LC691-ltb	WB dbler lead 15x75 light blue	650	LC691-ltb	147	6	1
LC691-pur	WB dbler lead 15x75 purple	650	LC691-pur	147	6	1
LC691-red	WB dbler lead 15x75 red	650	LC691-red	147	6	1
LC694-blk	Ctn wb clr 25x50-70 black	600	LC694-blk	83	6	1
LC694-blu	Ctn wb clr 25x50-70 blue	600	LC694-blu	83	6	1
LC694-pur	Ctn wb clr 25x50-70 purple	600	LC694-pur	83	6	1
LC694-red	Ctn wb clr 25x50-70 red	600	LC694-red	83	6	1
LC700-blk	Ctn wb lead 25x180 black	800	LC700-blk	84	6	1
LC700-blu	Ctn wb lead 25x180 blue	800	LC700-blu	84	6	1
LC700-pur	Ctn wb lead 25x180 purple	800	LC700-pur	84	6	1
LC700-red	Ctn wb lead 25x180 red	800	LC700-red	84	6	1
LC704-blk	Ctn wb lead 25x120 black	700	LC704-blk	84	6	1
LC704-blu	Ctn wb lead 25x120 blue	700	LC704-blu	84	6	1
LC704-pur	Ctn wb lead 25x120 purple	700	LC704-pur	84	6	1
LC704-red	Ctn wb lead 25x120 red	700	LC704-red	84	6	1
LC752-blk	S rfl adj cat cat collar black	392	LC752-blk	131	6	1
LC752-dkb	S rfl adj cat cat collar dk bl	392	LC752-dkb	131	6	1
LC752-pur	S rfl adj cat cat collar purpl	392	LC752-pur	131	6	1
LC752-red	S rfl adj cat cat collar red	392	LC752-red	131	6	1
LC754-blk	Suede cat collar black	215	LC754-blk	138	6	1
LC754-blu	Suede cat collar blue	215	LC754-blu	138	6	1
LC754-jde	Suede cat collar jade	215		138	6	0
LC754-pnk	Suede cat collar pink	215		138	6	0
LC754-pur	Suede cat collar purple	215	LC754-pur	138	6	1
LC754-red	Suede cat collar red	215	LC754-red	138	6	1
LC756	Leather cat collar	225	LC756	110	6	1
LC762-blk	WB metal bkle cat collar black	293	LC762-blk	149	6	1
LC762-dkb	WB metal bkle cat collar dk bl	293	LC762-dkb	149	6	1
LC762-ltb	WB metal bkle cat collar lt bl	293	LC762-ltb	149	6	1
LC762-pur	WB metal bkle cat collar purpl	293	LC762-pur	149	6	1
LC762-red	WB metal bkle cat collar red	293	LC762-red	149	6	1
LC763	Cat balls with bells 36pcs	2000	LC763	75	6	1
LC764-blk	WB adj cat collar black	293	LC764-blk	145	6	1
LC764-dkb	WB adj cat collar dark blue	293	LC764-dkb	145	6	1
LC764-ltb	WB adj cat collar light blue	293	LC764-ltb	145	6	1
LC764-pur	WB adj cat collar purple	293	LC764-pur	145	6	1
LC764-red	WB adj cat collar red	293	LC764-red	145	6	1
LC765	Cat bell & D ring nickel	40	LC765	76	6	1
LC766-blu	Elastic cat clr w/bl blue sp	215	LC766	96	6	0
LC766-grn	Elastic cat clr w/bl green sp	215		96	6	0
LC766-red	Elastic cat clr w/bl red sp	215		96	6	0
LC766-yel	Elastic cat clr w/bl yellow sp	215		96	6	0
LC767	Elastic cat collar with 2 bell	252	LC767	96	6	1
LC792-blk	Small walking harness black	893	LC792-blk	144	6	1
LC792-dkb	Small walking harness dk blue	893	LC792-dkb	144	6	1
LC792-pur	Small walking harness purple	893	LC792-pur	144	6	1
LC792-red	Small walking harness red	893	LC792-red	144	6	1
LC794-blk	Medium walking harness black	945	LC794-blk	144	6	1
LC794-dkb	Medium walking harness dk blue	945	LC794-dkb	144	6	1
LC794-pur	Medium walking harness purple	945	LC794-pur	144	6	1
LC794-red	Medium walking harness red	945	LC794-red	144	6	1
LC796-blk	Large walking harness black	998	LC796-blk	144	6	1
LC796-dkb	Large walking harness dk blue	998	LC796-dkb	144	6	1
LC796-pur	Large walking harness purple	998	LC796-pur	144	6	1
LC796-red	Large walking harness red	998	LC796-red	144	6	1
LC798-blk	Xlarge walking harness black	1350	LC798-blk	144	6	1
LC798-dkb	Xlarge walking harness dk blue	1350	LC798-dkb	144	6	1
LC798-pur	Xlarge walking harness purple	1350	LC798-pur	144	6	1
LC798-red	Xlarge walking harness red	1350	LC798-red	144	6	1
LC799	Full elastic paw cat collar	215	LC799	97	6	1
LC801-grn	Diamante 32cm collar green	250	LC801-grn	87	6	1
LC801-org	Diamante 32cm collar orange	250	LC801-org	87	6	1
LC801-yel	Diamante 32cm collar yellow	250	LC801-yel	87	6	1
LC881-grn	Snake skin lth cat clr green	495		173	6	0
LC881-red	Snake skin lth cat clr red	495		173	6	0
LC888-blk	Patent leather cat collar blac	295		121	6	0
LC888-red	Patent leather cat collar red	295	LC888-red	121	6	1
LC890-blk	Kitten harness w/lead black	616	LC890-blk	108	6	1
LC890-blu	Kitten harness w/lead blue	616	LC890-blu	108	6	1
LC890-pur	Kitten harness w/lead purple	616	LC890-pur	108	6	1
LC890-red	Kitten harness w/lead red	616	LC890-red	108	6	1
LC892-blk	Cat harness with lead black	616	LC892-blk	77	6	1
LC892-blu	Cat harness with lead blue	616	LC892-blu	77	6	1
LC892-pur	Cat harness with lead purple	616	LC892-pur	77	6	1
LC892-red	Cat harness with lead red	616	LC892-red	77	6	1
LC893-blu	Pastel cat collar blue	500	LC893-blu	120	6	1
LC893-grn	Pastel cat collar green	500	LC893-grn	120	6	1
LC893-pur	Pastel cat collar purple	500	LC893-pur	120	6	1
LC920	16mmx40cm leather collar rosco	800	LC920	111	6	1
LC921	28mmx50cm leather collor rosco	1200	LC921	111	6	1
LC922	32mmx60cm leather collar rosco	1400	LC922	111	6	1
LC923	16mmx105cm leather lead rosco	1500	LC923	111	6	1
LC924	16mmx105cm lth swivel ld rosco	1800	LC924	111	6	1
LC958	Choker chain 2.0mmx30cm	182	LC958	81	6	1
LC959	Choker chain 2.0mmx35cm	188	LC959	81	6	1
LC960	Choker chain 2.0mmx40cm	203	LC960	81	6	1
LC961	Choker chain 3.0mmx45cm	244	LC961	81	6	1
LC962	Choker chain 3.0mmx50cm	257	LC962	81	6	1
LC963	Choker chain 3.0mmx55cm	272	LC963	81	6	1
LC964	Choker chain 3.0mmx60cm	295	LC964	81	6	1
LC965	Choker chain 4.0mmx60cm	392	LC965	81	6	1
LC966	Choker chain 4.0mmx65cm	407	LC966	81	6	1
LC967	Choker chain 4.0mmx70cm	423	LC967	81	6	1
LC968	Choker chain 4.8mmx75cm	558	LC968	81	6	1
LC969	Choker chain 4.8mmx80cm	599	LC969	81	6	1
LC970-grn	PVC lead 120cm green	1080		129	6	0
LC970-pur	PVC lead 120cm purple	1080		129	6	0
LC970-red	PVC lead 120cm red	1080		129	6	0
LC970-yel	PVC lead 120cm yellow	1080	LC970-yel	129	6	1
LC971-grn	PVC collar 20x45 green	720		129	6	0
LC971-pur	PVC collar 20x45 purple	720		129	6	0
LC971-red	PVC collar 20x45 red	720	LC971-red	129	6	1
LC971-yel	PVC collar 20x45 yellow	720		129	6	0
LC972-grn	PVC collar 20x65 green	810		129	6	0
LC972-pur	PVC collar 20x65 purple	810		129	6	0
LC972-red	PVC collar 20x65 red	810		129	6	0
LC972-yel	PVC collar 20x65 yellow	810	LC972-yel	129	6	1
LC973-grn	PVC collar 20x35 green	625		129	6	0
LC973-pur	PVC collar 20x35 purple	625		129	6	0
LC973-red	PVC collar 20x35 red	625		129	6	0
LC973-yel	PVC collar 20x35 yellow	625	LC973-yel	129	6	1
MATDD200-dkb	Dlx dac mat 200 dark blue	1350		174	21	0
MATDDLGE-cbl	Dlxe dacron mat lge cord blue	2069	MATDDLGE-xxx	113	21	0
MATDDLGE-ccf	Dlxe dacron mat lge cord coffe	2069		113	21	0
MATDDLGE-cpu	Dlxe dacron mat lge cord purpl	2069		113	21	0
MATDDLGE-cre	Dlxe dacron mat lge cord red	2069		113	21	0
MATDDLGE-ctl	Dlxe dacron mat lge cord teal	2069		113	21	0
MATDDMED-cbl	Dlxe dacron mat med cord blue	1230	MATDDMED-xxx	113	21	0
MATDDMED-ccf	Dlxe dacron mat med cord coffe	1230		113	21	0
MATDDMED-cpu	Dlxe dacron mat med cord purpl	1230		113	21	0
MATDDMED-cre	Dlxe dacron mat med cord red	1230		113	21	0
MATDDMED-ctl	Dlxe dacron mat med cord teal	1230		113	21	0
MATDDSML-cbl	Dlxe dacron mat sml cord blue	1009	MATDDSML-xxx	113	21	0
MATDDSML-ccf	Dlxe dacron mat sml cord coffe	1009		113	21	0
MATDDSML-cpu	Dlxe dacron mat sml cord purpl	1009		113	21	0
MATDDSML-cre	Dlxe dacron mat sml cord red	1009		113	21	0
MATDDSML-ctl	Dlxe dacron mat sml cord teal	1009		113	21	0
MATDDSML-dkb	Dlxe dacron mat sml dark blue	1009		113	21	0
MATDDSML-nat	Dlxe dacron mat sml natural	1009		113	21	0
MATSD060-xxx	Dacron mat suit 60lt kennel	496	MATSD060-xxx	115	21	1
MATSD200-xxx	Dacron mat suit 200lt kennel	943	MATSD200-xxx	115	21	1
MATSD300-xxx	Dacron mat suit 300lt kennel	988	MATSD300-xxx	115	21	1
MATSD600-xxx	Dacron mat suit 600lt kennel	1210	MATSD600-xxx	115	21	1
MATSD900-xxx	Dacron mat suit 900lt kennel	1644	MATSD900-xxx	115	21	1
MATSDLGE-xxx	Standard dacron mat large	1644	MATSDLGE-xxx	152	21	1
MATSDMED-xxx	Standard dacron mat medium	988	MATSDMED-xxx	152	21	1
MATSDSML-xxx	Standard dacron mat small	859	MATSDSML-xxx	152	21	1
MATSFJUM-cgn	Standard foam mat jumbo c grn	1290	MATSFJUM-xxx	114	21	0
MATSFJUM-dbl	Standard foam mat jumbo d blu	1290		114	21	0
MATSFJUM-dgn	Standard foam mat jumbo d grn	1290		114	21	0
MATSFJUM-rus	Standard foam mat jumbo rust	1290		114	21	0
MATSFLGE-cgn	Standard foam mat large c grn	1000	MATSFLGE-xxx	114	21	0
MATSFLGE-dbl	Standard foam mat large d blu	1000		114	21	0
MATSFLGE-dgn	Standard foam mat large d grn	1000		114	21	0
MATSFLGE-rus	Standard foam mat large rust	1000		114	21	0
MATSFMIN-cgn	Standard foam mat mini c grn	800	MATSFMIN-xxx	114	21	0
MATSFMIN-dbl	Standard foam mat mini d blue	800		114	21	0
MATSFMIN-dgn	Standard foam mat mini d grn	800		114	21	0
MATSFMIN-rus	Standard foam mat mini rust	800		114	21	0
MATWDLGE-dkb	Sherpa dacron mat dark blue	2295	MATWDLGE-xxx	116	21	0
MATWDLGE-nat	Sherpa dacron mat natural	2295		116	21	0
MATWDMED-dkb	Sherpa dacron mat dark blue	1995	MATWDMED-xxx	116	21	0
MATWDMED-nat	Sherpa dacron mat natural	1995		116	21	0
MATWDSML-dkb	Sherpa dacron mat dark blue	1295	MATWDSML-xxx	116	21	0
MATWDSML-nat	Sherpa dacron mat natural	1295		116	21	0
MUZ01	Nylon dog muzzle small	295	MUZ01	90	6	1
MUZ02	Nylon dog muzzle medium	295		90	6	0
MUZ03	Nylon dog muzzle large	295		90	6	0
MUZ04	Nylon dog muzzle x large	295		90	6	0
PDL01	Dried liver 1kg	2500	PDL01	35	4	1
PDL15	Dried lived 150gsm	455	PDL15	35	4	1
PPDLGE-bei	Deluxe pet pillow large beige	3020		175	21	0
PPDLGE-blk	Deluxe pet pillow large black	3020		175	21	0
PPDMED-bei	Deluxe pet pillow medium beige	2470		175	21	0
PPDMED-blk	Deluxe pet pillow medium black	2470		175	21	0
PPDSML-bei	Deluxe pet pillow small beige	1760		175	21	0
PPDSML-blk	Deluxe pet pillow small black	1760		175	21	0
PPDXLG-bei	Deluxe pet pillow xlarge beige	3640		175	21	0
PPDXLG-blk	Deluxe pet pillow xlarge black	3640		175	21	0
PPDXXL-bei	Deluxe pet pillow xxl beige	4200		175	21	0
PPDXXL-blk	Deluxe pet pillow xxl black	4200		175	21	0
PPTOPUP	Pet pillow top up pack .75kg	645		176	21	0
RNDBGNT-xxx	Budget basket giant	2680	RNDBGNT-xxx	68	19	1
			RNDDGNT-xxx	85	19	0
RNDBLGE-xxx	Budget basket large	1650		85	19	0
RNDBMED-xxx	Budget basket medium	1424		85	19	0
RNDBSML-xxx	Budget basket small	1175		85	19	0
RNDBXLG-xxx	Budget basket extra large	2250		85	19	0
RNDDLGE-fle	Deluxe basket large leopard	3595	RNDDLGE-xxx	85	19	0
RNDDLGE-fpa	Deluxe basket large panther	3595		85	19	0
RNDDLGE-spw	Deluxe basket large den/polar	3595		85	19	0
RNDDMED-fle	Deluxe basket medium leopard	2940	RNDDMED-xxx	85	19	0
RNDDMED-fpa	Deluxe basket medium panther	2940		85	19	0
RNDDMED-spw	Deluxe basket medium den/sherp	2940		85	19	0
RNDDSML-fle	Deluxe basket small leopard	2325	RNDDSML-xxx	85	19	0
RNDDSML-fpa	Deluxe basket small panther	2325		85	19	0
RNDDSML-spw	Deluxe basket small den/polar	2325		85	19	0
RNDDXLG-fle	Deluxe basket xlarge leopard	4465	RNDDXLG-xxx	85	19	0
RNDDXLG-fpa	Deluxe basket xlarge panther	4465		85	19	0
RNDDXLG-spw	Deluxe basket xlarge den/polar	4465		85	19	0
RNDPLGE-fbw	Premium basket lge fur b/w	3795	RNDPLGE-xxx	126	19	0
RNDPMED-fbw	Premium basket med fur b/w	3095	RNDPMED-xxx	126	19	0
RNDPSML-fbw	Premium basket sml fur b/w	2495	RNDPSML-xxx	126	19	0
RNDPXLGE-fbw	Premium basket xlg fur b/w	4797	RNDPXLGE-xxx	126	19	0
RNDSGNT-pbl	Standard basket gnt p/blue	3600	RNDSGNT-xxx	135	19	0
RNDSGNT-ppu	Standard basket gnt p/purple	3600		135	19	0
RNDSLGE-pbl	Standard basket lge p/blue	2300	RNDSLGE-xxx	135	19	0
RNDSLGE-ppu	Standard basket lge p/purple	2300		135	19	0
RNDSMED-pbl	Standard basket med p/blue	1900	RNDSMED-xxx	135	19	0
RNDSMED-ppu	Standard basket med p/purple	1900		135	19	0
RNDSSML-pbl	Standard basket sml p/blue	1500	RNDSSML-xxx	135	19	0
RNDSSML-ppu	Standard basket sml p/purple	1500		135	19	0
RNDSXLG-pbl	Standard basket xlge p/blue	3100	RNDSXLG-xxx	135	19	0
RNDSXLG-ppu	Standard basket xlge p/purple	3100		135	19	0
XM003	Xmas deluxe dog hat & scarf	225		177	3	0
XM006	Xmas 4pc cat stocking	250		177	3	0
XM011	Xmas dog toy set 6pc	800		177	3	0
XM012	Xmas cat dangler	185		177	3	0
XM013	Xmas stocking 6 ass	1345		177	3	0
