product_code,description,price,typeid,catid
DT022,Plush coloured star with 6 sq,450,155,3
DT023,Dog chew rope w/3 sausages,350,155,3
DT027,Back saver grab & throw stick,495,155,3
DT029,Pet toy dispenser large,495,155,3
DT030,Heavy duty life ring pull toy,445,155,3
DT031,Odd shape tennis ball,330,155,3
DT036,Spike dog squeak ball 24pc,3600,155,3
DT037,Solid rubber ball with rope,225,155,3
DT041,Dog beer can 15pc Squeaky,2500,155,3
DT042,Dog cat sheep squeaky toy 3pc,660,155,3
DT044,Jumbo rainbow sqky animal 4pc,1160,155,3
DT049,Play n chase ball,575,155,3
DT052,Puppy companion pet toy 6pc,1206,155,3
DT053,"""Blood hound",490,155,3
DT054,Tyre tuff buddies dog toy 3pc,585,155,3
DT055,Astd h/ware buddies w sqk 6pc,1170,155,3
DT056,Mint fresh dog breath ball,680,155,3
DC030,6x20mm munchy sticks 50pc,1314,159,4
DC032,"""1"""" munchy bones 100pc""",892,160,4
DC048,Munchy twist stixs 30pc,500,159,4
