79	200B	7500
80	200B	7500
81	200B	7500
82	200B	7500
83	200B	7500
84	200B	7500
85	200B	7500
86	200B	7500
87	200B	7500
88	200B	7500
89	200B	7500
90	200B	7500
91	200B	7500
92	200B	7500
93	200B	7500
94	200B	7500
95	200B	7500
96	200B	7500
97	200B	7500
98	200B	7500
99	200B	7500
100	200B	7500
101	200B	7500
102	200B	7500
103	200B	7500
104	200B	7500
105	200B	7500
106	200B	7500
107	200B	7500
108	200B	7500
109	200B	7500
110	200B	7500
111	200B	7500
112	200B	7500
113	200B	7500
114	200B	7500
115	200B	7500
79	060B	6300
80	060B	6300
81	060B	6300
82	060B	6300
83	060B	6300
84	060B	6300
85	060B	6300
86	060B	6300
87	060B	6300
88	060B	6300
89	060B	6300
90	060B	6300
91	060B	6300
92	060B	6300
93	060B	6300
94	060B	6300
95	060B	6300
96	060B	6300
97	060B	6300
98	060B	6300
99	060B	6300
100	060B	6300
101	060B	6300
102	060B	6300
103	060B	6300
104	060B	6300
105	060B	6300
106	060B	6300
107	060B	6300
108	060B	6300
109	060B	6300
110	060B	6300
111	060B	6300
112	060B	6300
113	060B	6300
114	060B	6300
115	060B	6300
